latency,attack_type,result0.0001678466796875,normal,success
0.3006711006164551,relay attack,rejected
0.0002834796905517578,normal,success
0.0001590251922607422,replay attack,rejected
0.0002048015594482422,normal,success
0.00041937828063964844,normal,success
0.00045180320739746094,normal,success
0.00043201446533203125,normal,success
0.00037097930908203125,normal,success
0.0002758502960205078,normal,success
0.0003826618194580078,normal,success
0.0002124309539794922,normal,success
0.00038361549377441406,normal,success
0.0001919269561767578,normal,success
0.0003802776336669922,normal,success
0.0003273487091064453,normal,success
