2026-04-12 16:23:30.552093 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000186
2026-04-12 16:23:33.554347 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000249
2026-04-12 16:23:35.686858 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.010779
2026-04-12 16:23:38.700844 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.010829
2026-04-12 16:23:40.577434 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000216
2026-04-12 16:23:40.779656 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000348
2026-04-12 16:23:40.981139 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000174
2026-04-12 16:23:41.182603 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000114
2026-04-12 16:23:41.383633 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000065
2026-04-12 16:23:41.592834 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000036
2026-04-12 16:23:41.808015 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000059
2026-04-12 16:23:42.009238 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000221
2026-04-12 16:23:42.211574 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000270
2026-04-12 16:23:42.413398 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000219
2026-04-12 16:23:44.616080 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000262
2026-04-12 16:23:44.818917 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000311
2026-04-12 16:23:45.020726 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000128
2026-04-12 16:23:45.222366 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000138
2026-04-12 16:23:45.423965 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000229
2026-04-12 16:23:45.581704 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000166
2026-04-12 16:23:48.583883 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000275
2026-04-12 16:23:50.585789 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000088
2026-04-12 16:23:53.587524 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000099
2026-04-12 16:23:55.789518 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.200977
2026-04-12 16:23:58.992979 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.201066
2026-04-12 16:24:00.614052 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.010800
2026-04-12 16:24:03.628379 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.010840
2026-04-12 16:28:11.507047 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.011057
2026-04-12 16:28:14.521452 | TYPE=NORMAL | RESULT=SUCCESS | LATENCY=0.011036
2026-04-12 16:28:16.605218 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000192
2026-04-12 16:28:18.606445 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000040
2026-04-12 16:28:20.608435 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000334
2026-04-12 16:28:21.702376 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.200600
2026-04-12 16:28:24.906099 | TYPE=RELAY | RESULT=REJECTED | LATENCY=0.200787
2026-04-12 16:28:26.514126 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000146
2026-04-12 16:28:26.715913 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000157
2026-04-12 16:28:26.917249 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000081
2026-04-12 16:28:27.120375 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000042
2026-04-12 16:28:27.338632 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000082
2026-04-12 16:28:27.539892 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000197
2026-04-12 16:28:27.741643 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000266
2026-04-12 16:28:27.943290 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000134
2026-04-12 16:28:28.144694 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000116
2026-04-12 16:28:28.346015 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000044
2026-04-12 16:28:30.549178 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000233
2026-04-12 16:28:30.751761 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000310
2026-04-12 16:28:30.953736 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000177
2026-04-12 16:28:31.155101 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000046
2026-04-12 16:28:31.356755 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000215
2026-04-12 16:28:31.554937 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000207
2026-04-12 16:28:34.557186 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000374
2026-04-12 16:28:36.539294 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000194
2026-04-12 16:28:39.541606 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000262
2026-04-12 16:28:41.543618 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000178
2026-04-12 16:28:41.746287 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000236
2026-04-12 16:28:41.948142 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000139
2026-04-12 16:28:42.166291 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000072
2026-04-12 16:28:42.377934 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000178
2026-04-12 16:28:42.579300 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000066
2026-04-12 16:28:42.781154 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000210
2026-04-12 16:28:42.982582 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000189
2026-04-12 16:28:43.183973 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000151
2026-04-12 16:28:43.385643 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000234
2026-04-12 16:28:44.547404 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000179
2026-04-12 16:28:44.748832 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000042
2026-04-12 16:28:44.951645 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000061
2026-04-12 16:28:45.153547 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000058
2026-04-12 16:28:45.354871 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000054
2026-04-12 16:28:45.556624 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000190
2026-04-12 16:28:45.758191 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000141
2026-04-12 16:28:45.959586 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000135
2026-04-12 16:28:46.161024 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000198
2026-04-12 16:28:46.362592 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000198
2026-04-12 16:28:48.565306 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000337
